Well Number,coordinate,green.intensity
0,A01,0
1,A02,43
2,A03,86
3,A04,129
4,A05,172
5,A06,215
6,A07,258
7,A08,301
8,A09,344
9,A10,387
10,A11,430
11,A12,473
12,B01,516
13,B02,559
14,B03,602
15,B04,645
16,B05,688
17,B06,731
18,B07,774
19,B08,817
20,B09,860
21,B10,903
22,B11,946
23,B12,989
24,C01,1032
25,C02,1075
26,C03,1118
27,C04,1161
28,C05,1204
29,C06,1247
30,C07,1290
31,C08,1333
32,C09,1376
33,C10,1419
34,C11,1462
35,C12,1505
36,D01,1548
37,D02,1591
38,D03,1634
39,D04,1677
40,D05,1720
41,D06,1763
42,D07,1806
43,D08,1849
44,D09,1892
45,D10,1935
46,D11,1978
47,D12,2021
48,E01,2064
49,E02,2107
50,E03,2150
51,E04,2193
52,E05,2236
53,E06,2279
54,E07,2322
55,E08,2365
56,E09,2408
57,E10,2451
58,E11,2494
59,E12,2537
60,F01,2580
61,F02,2623
62,F03,2666
63,F04,2709
64,F05,2752
65,F06,2795
66,F07,2838
67,F08,2881
68,F09,2924
69,F10,2967
70,F11,3010
71,F12,3053
72,G01,3096
73,G02,3139
74,G03,3182
75,G04,3225
76,G05,3268
77,G06,3311
78,G07,3354
79,G08,3397
80,G09,3440
81,G10,3483
82,G11,3526
83,G12,3569
84,H01,3612
85,H02,3655
86,H03,3698
87,H04,3741
88,H05,3784
89,H06,3827
90,H07,3870
91,H08,3913
92,H09,3956
93,H10,3999
94,H11,4042
95,H12,4095
