metadata.well.number,coordinate.long,coordinate,time,green.intensity,column,row
0,A01,A1,,0,1,1
1,A02,A2,,43,2,1
2,A03,A3,,86,3,1
3,A04,A4,,129,4,1
4,A05,A5,,172,5,1
5,A06,A6,,215,6,1
6,A07,A7,,258,7,1
7,A08,A8,,301,8,1
8,A09,A9,,344,9,1
9,A10,A10,,387,10,1
10,A11,A11,,430,11,1
11,A12,A12,,473,12,1
12,B01,B1,,516,1,2
13,B02,B2,,559,2,2
14,B03,B3,,602,3,2
15,B04,B4,,645,4,2
16,B05,B5,,688,5,2
17,B06,B6,,731,6,2
18,B07,B7,,774,7,2
19,B08,B8,,817,8,2
20,B09,B9,,860,9,2
21,B10,B10,,903,10,2
22,B11,B11,,946,11,2
23,B12,B12,,989,12,2
24,C01,C1,,1032,1,3
25,C02,C2,,1075,2,3
26,C03,C3,,1118,3,3
27,C04,C4,,1161,4,3
28,C05,C5,,1204,5,3
29,C06,C6,,1247,6,3
30,C07,C7,,1290,7,3
31,C08,C8,,1333,8,3
32,C09,C9,,1376,9,3
33,C10,C10,,1419,10,3
34,C11,C11,,1462,11,3
35,C12,C12,,1505,12,3
36,D01,D1,,1548,1,4
37,D02,D2,,1591,2,4
38,D03,D3,,1634,3,4
39,D04,D4,,1677,4,4
40,D05,D5,,1720,5,4
41,D06,D6,,1763,6,4
42,D07,D7,,1806,7,4
43,D08,D8,,1849,8,4
44,D09,D9,,1892,9,4
45,D10,D10,,1935,10,4
46,D11,D11,,1978,11,4
47,D12,D12,,2021,12,4
48,E01,E1,,2064,1,5
49,E02,E2,,2107,2,5
50,E03,E3,,2150,3,5
51,E04,E4,,2193,4,5
52,E05,E5,,2236,5,5
53,E06,E6,,2279,6,5
54,E07,E7,,2322,7,5
55,E08,E8,,2365,8,5
56,E09,E9,,2408,9,5
57,E10,E10,,2451,10,5
58,E11,E11,,2494,11,5
59,E12,E12,,2537,12,5
60,F01,F1,,2580,1,6
61,F02,F2,,2623,2,6
62,F03,F3,,2666,3,6
63,F04,F4,,2709,4,6
64,F05,F5,,2752,5,6
65,F06,F6,,2795,6,6
66,F07,F7,,2838,7,6
67,F08,F8,,2881,8,6
68,F09,F9,,2924,9,6
69,F10,F10,,2967,10,6
70,F11,F11,,3010,11,6
71,F12,F12,,3053,12,6
72,G01,G1,,3096,1,7
73,G02,G2,,3139,2,7
74,G03,G3,,3182,3,7
75,G04,G4,,3225,4,7
76,G05,G5,,3268,5,7
77,G06,G6,,3311,6,7
78,G07,G7,,3354,7,7
79,G08,G8,,3397,8,7
80,G09,G9,,3440,9,7
81,G10,G10,,3483,10,7
82,G11,G11,,3526,11,7
83,G12,G12,,3569,12,7
84,H01,H1,,3612,1,8
85,H02,H2,,3655,2,8
86,H03,H3,,3698,3,8
87,H04,H4,,3741,4,8
88,H05,H5,,3784,5,8
89,H06,H6,,3827,6,8
90,H07,H7,,3870,7,8
91,H08,H8,,3913,8,8
92,H09,H9,,3956,9,8
93,H10,H10,,3999,10,8
94,H11,H11,,4042,11,8
95,H12,H12,,4095,12,8
