Well Number,Randomized Index,Time Points
0,19,18000000
1,88,18000000
2,46,18000000
3,92,18000000
4,6,18000000
5,53,18000000
6,40,18000000
7,10,18000000
8,18,18000000
9,1,18000000
10,85,18000000
11,79,18000000
12,69,18000000
13,95,18000000
14,45,18000000
15,3,18000000
16,57,18000000
17,65,18000000
18,56,18000000
19,87,18000000
20,41,18000000
21,2,18000000
22,9,18000000
23,63,18000000
24,16,18000000
25,64,18000000
26,50,18000000
27,28,18000000
28,39,18000000
29,43,18000000
30,14,18000000
31,38,18000000
32,17,18000000
33,89,18000000
34,59,18000000
35,15,18000000
36,84,18000000
37,82,18000000
38,78,18000000
39,27,18000000
40,48,18000000
41,80,18000000
42,75,18000000
43,83,18000000
44,4,18000000
45,67,18000000
46,29,18000000
47,36,18000000
48,71,18000000
49,7,18000000
50,0,18000000
51,22,18000000
52,5,18000000
53,91,18000000
54,49,18000000
55,24,18000000
56,73,18000000
57,52,18000000
58,93,18000000
59,72,18000000
60,32,18000000
61,13,18000000
62,76,18000000
63,34,18000000
64,54,18000000
65,51,18000000
66,26,18000000
67,58,18000000
68,77,18000000
69,60,18000000
70,70,18000000
71,42,18000000
72,21,18000000
73,86,18000000
74,44,18000000
75,8,18000000
76,35,18000000
77,68,18000000
78,25,18000000
79,66,18000000
80,62,18000000
81,30,18000000
82,20,18000000
83,94,18000000
84,47,18000000
85,61,18000000
86,81,18000000
87,11,18000000
88,90,18000000
89,12,18000000
90,55,18000000
91,74,18000000
92,33,18000000
93,31,18000000
94,37,18000000
95,23,18000000
