Well Number,Randomized Index,Time Points
0,67,1840000
1,34,11960000
2,37,7360000
3,72,8280000
4,36,920000
5,2,3680000
6,17,11960000
7,68,2760000
8,15,1840000
9,58,4600000
10,42,5520000
11,14,12880000
12,23,920000
13,30,3680000
14,60,7360000
15,80,0
16,26,4600000
17,24,0
18,12,3680000
19,43,11040000
20,4,8280000
21,3,4600000
22,56,9200000
23,20,920000
24,0,8280000
25,89,10120000
26,8,920000
27,22,10120000
28,48,12880000
29,79,1840000
30,77,8280000
31,54,5520000
32,29,11960000
33,45,13800000
34,41,7360000
35,62,11960000
36,7,0
37,90,0
38,78,11960000
39,27,4600000
40,52,2760000
41,87,1840000
42,40,0
43,65,8280000
44,64,6440000
45,81,9200000
46,69,6440000
47,25,4600000
48,18,1840000
49,91,13800000
50,5,3680000
51,57,3680000
52,50,2760000
53,19,3680000
54,51,9200000
55,61,5520000
56,53,920000
57,92,11040000
58,13,7360000
59,73,6440000
60,83,920000
61,6,11040000
62,47,9200000
63,32,13800000
64,9,2760000
65,35,10120000
66,39,12880000
67,38,0
68,16,7360000
69,75,2760000
70,21,12880000
71,1,13800000
72,74,7360000
73,84,11040000
74,55,5520000
75,28,11960000
76,82,6440000
77,66,1840000
78,31,2760000
79,70,9200000
80,94,8280000
81,11,10120000
82,10,5520000
83,88,4600000
84,59,12880000
85,71,13800000
86,95,13800000
87,49,10120000
88,46,12880000
89,86,9200000
90,93,10120000
91,33,11040000
92,76,11040000
93,63,6440000
94,44,5520000
95,85,6440000
