Well Number,Randomized Index,Time Points
0,78,12880000
1,51,11040000
2,65,0
3,34,1840000
4,24,7360000
5,49,920000
6,56,13800000
7,36,8280000
8,21,2760000
9,4,11960000
10,2,13800000
11,11,7360000
12,17,6440000
13,95,9200000
14,73,920000
15,89,11960000
16,14,11040000
17,7,920000
18,66,3680000
19,29,11960000
20,5,4600000
21,55,0
22,58,9200000
23,76,6440000
24,46,0
25,40,3680000
26,68,4600000
27,52,10120000
28,87,11040000
29,94,8280000
30,85,2760000
31,13,10120000
32,3,4600000
33,22,11040000
34,50,7360000
35,92,11040000
36,8,7360000
37,37,10120000
38,41,10120000
39,31,3680000
40,71,9200000
41,27,2760000
42,48,5520000
43,75,5520000
44,30,4600000
45,38,6440000
46,59,1840000
47,62,12880000
48,18,2760000
49,35,7360000
50,63,1840000
51,28,7360000
52,60,9200000
53,16,13800000
54,25,6440000
55,1,8280000
56,80,0
57,33,12880000
58,39,920000
59,67,2760000
60,81,3680000
61,90,13800000
62,44,10120000
63,9,3680000
64,26,12880000
65,15,0
66,83,920000
67,88,11040000
68,20,1840000
69,74,13800000
70,32,5520000
71,19,2760000
72,42,6440000
73,79,920000
74,43,11960000
75,64,10120000
76,84,8280000
77,47,12880000
78,91,0
79,0,12880000
80,70,3680000
81,77,4600000
82,82,5520000
83,57,4600000
84,45,5520000
85,93,1840000
86,54,6440000
87,10,1840000
88,72,11960000
89,53,8280000
90,23,11960000
91,69,5520000
92,86,9200000
93,6,13800000
94,12,9200000
95,61,8280000
