"","Randomized.Index","Well.Number","Time.Points","coordinate.long","coordinate.x","time","green.intensity","column","row","coordinate.y","Abs.600","GFP.flu","plate","experiment","OD.600","GFP"
"97",0,50,18000000,"E03","E3",NA,2150,3,5,"A1",0.0863000005483627,1021,2,"repeat sunday",0.0381000005483627,1020.97591847294
"98",1,9,18000000,"A10","A10",NA,387,10,1,"A2",0.0874999985098839,463,2,"repeat sunday",0.0392999985098839,462.975160000942
"99",2,21,18000000,"B10","B10",NA,903,10,2,"A3",0.0872000008821487,630,2,"repeat sunday",0.0390000008821487,629.975349617763
"100",3,15,18000000,"B04","B4",NA,645,4,2,"A4",0.087399996817112,503,2,"repeat sunday",0.039199996817112,502.975223208119
"101",4,44,18000000,"D09","D9",NA,1892,9,4,"A5",0.0869999974966049,785,2,"repeat sunday",0.0387999974966049,784.975476032117
"102",5,52,18000000,"E05","E5",NA,2236,5,5,"A6",0.0855000019073486,746,2,"repeat sunday",0.0373000019073486,745.976424120932
"103",6,4,18000000,"A05","A5",NA,172,5,1,"A7",0.0870999991893768,293,2,"repeat sunday",0.0388999991893768,292.97541282494
"104",7,49,18000000,"E02","E2",NA,2107,2,5,"A8",0.0860999971628189,689,2,"repeat sunday",0.0378999971628189,688.97604488729
"105",8,75,18000000,"G04","G4",NA,3225,4,7,"A9",0.0860000029206276,752,2,"repeat sunday",0.0378000029206276,751.976108089757
"106",9,22,18000000,"B11","B11",NA,946,11,2,"A10",0.0856999978423119,559,2,"repeat sunday",0.0374999978423119,558.976297711287
"107",10,7,18000000,"A08","A8",NA,301,8,1,"A11",0.0872000008821487,344,2,"repeat sunday",0.0390000008821487,343.975349617763
"108",11,87,18000000,"H04","H4",NA,3741,4,8,"A12",0.0873000025749207,1002,2,"repeat sunday",0.0391000025749207,1001.97528641059
"109",12,89,18000000,"H06","H6",NA,3827,6,8,"B1",0.0901999995112419,1122,2,"repeat sunday",0.0419999995112419,1121.97345343542
"110",13,61,18000000,"F02","F2",NA,2623,2,6,"B2",0.0869999974966049,973,2,"repeat sunday",0.0387999974966049,972.975476032117
"111",14,30,18000000,"C07","C7",NA,1290,7,3,"B3",0.0844999998807907,638,2,"repeat sunday",0.0362999998807907,637.977056183281
"112",15,35,18000000,"C12","C12",NA,1505,12,3,"B4",0.086499996483326,687,2,"repeat sunday",0.038299996483326,686.975792063291
"113",16,24,18000000,"C01","C1",NA,1032,1,3,"B5",0.0859000012278557,579,2,"repeat sunday",0.0377000012278557,578.976171296934
"114",17,32,18000000,"C09","C9",NA,1376,9,3,"B6",0.0850000008940697,604,2,"repeat sunday",0.0368000008940697,603.976740152107
"115",18,8,18000000,"A09","A9",NA,344,9,1,"B7",0.087399996817112,350,2,"repeat sunday",0.039199996817112,349.975223208119
"116",19,0,18000000,"A01","A1",NA,0,1,1,"B8",0.0865999981760979,224,2,"repeat sunday",0.0383999981760979,223.975728856115
"117",20,82,18000000,"G11","G11",NA,3526,11,7,"B9",0.0808999985456467,583,2,"repeat sunday",0.0326999985456467,582.979331603973
"118",21,72,18000000,"G01","G1",NA,3096,1,7,"B10",0.0832000002264977,663,2,"repeat sunday",0.0350000002264977,662.977877862452
"119",22,51,18000000,"E04","E4",NA,2193,4,5,"B11",0.0834999978542328,652,2,"repeat sunday",0.0352999978542328,651.977688245631
"120",23,95,18000000,"H12","H12",NA,4095,12,8,"B12",0.0874999985098839,1010,2,"repeat sunday",0.0392999985098839,1009.97516000094
"121",24,55,18000000,"E08","E8",NA,2365,8,5,"C1",0.0873000025749207,1032,2,"repeat sunday",0.0391000025749207,1031.97528641059
"122",25,78,18000000,"G07","G7",NA,3354,7,7,"C2",0.0852999985218048,848,2,"repeat sunday",0.0370999985218048,847.976550535285
"123",26,66,18000000,"F07","F7",NA,2838,7,6,"C3",0.0856999978423119,837,2,"repeat sunday",0.0374999978423119,836.976297711287
"124",27,39,18000000,"D04","D4",NA,1677,4,4,"C4",0.086499996483326,719,2,"repeat sunday",0.038299996483326,718.975792063291
"125",28,27,18000000,"C04","C4",NA,1161,4,3,"C5",0.0857999995350838,626,2,"repeat sunday",0.0375999995350838,625.976234504111
"126",29,46,18000000,"D11","D11",NA,1978,11,4,"C6",0.0848999992012978,685,2,"repeat sunday",0.0366999992012978,684.976803359284
"127",30,81,18000000,"G10","G10",NA,3483,10,7,"C7",0.0838999971747398,716,2,"repeat sunday",0.0356999971747398,715.977435421633
"128",31,93,18000000,"H10","H10",NA,3999,10,8,"C8",0.0856000036001205,753,2,"repeat sunday",0.0374000036001205,752.976360913755
"129",32,60,18000000,"F01","F1",NA,2580,1,6,"C9",0.0847000032663345,683,2,"repeat sunday",0.0365000032663345,682.976929768928
"130",33,92,18000000,"H09","H9",NA,3956,9,8,"C10",0.0830999985337257,653,2,"repeat sunday",0.0348999985337257,652.977941069629
"131",34,63,18000000,"F04","F4",NA,2709,4,6,"C11",0.0838999971747398,694,2,"repeat sunday",0.0356999971747398,693.977435421633
"132",35,76,18000000,"G05","G5",NA,3268,5,7,"C12",0.0866999998688698,957,2,"repeat sunday",0.0384999998688698,956.975665648938
"133",36,47,18000000,"D12","D12",NA,2021,12,4,"D1",0.0873000025749207,973,2,"repeat sunday",0.0391000025749207,972.975286410586
"134",37,94,18000000,"H11","H11",NA,4042,11,8,"D2",0.0839999988675117,888,2,"repeat sunday",0.0357999988675117,887.977372214456
"135",38,31,18000000,"C08","C8",NA,1333,8,3,"D3",0.0868000015616417,721,2,"repeat sunday",0.0386000015616417,720.975602441761
"136",39,28,18000000,"C05","C5",NA,1204,5,3,"D4",0.0829000025987625,562,2,"repeat sunday",0.0347000025987625,561.978067479273
"137",40,6,18000000,"A07","A7",NA,258,7,1,"D5",0.0844999998807907,299,2,"repeat sunday",0.0362999998807907,298.977056183281
"138",41,20,18000000,"B09","B9",NA,860,9,2,"D6",0.0837000012397766,503,2,"repeat sunday",0.0355000012397766,502.977561831277
"139",42,71,18000000,"F12","F12",NA,3053,12,6,"D7",0.0820000022649765,651,2,"repeat sunday",0.0338000022649765,650.978636334446
"140",43,29,18000000,"C06","C6",NA,1247,6,3,"D8",0.0838999971747398,558,2,"repeat sunday",0.0356999971747398,557.977435421633
"141",44,74,18000000,"G03","G3",NA,3182,3,7,"D9",0.0828000009059906,705,2,"repeat sunday",0.0346000009059906,704.97813068645
"142",45,14,18000000,"B03","B3",NA,602,3,2,"D10",0.0859000012278557,419,2,"repeat sunday",0.0377000012278557,418.976171296934
"143",46,2,18000000,"A03","A3",NA,86,3,1,"D11",0.0885000005364418,257,2,"repeat sunday",0.0403000005364418,256.974527938592
"144",47,84,18000000,"H01","H1",NA,3612,1,8,"D12",0.0886000022292137,989,2,"repeat sunday",0.0404000022292137,988.974464731415
"145",48,40,18000000,"D05","D5",NA,1720,5,4,"E1",0.0864000022411346,773,2,"repeat sunday",0.0382000022411346,772.975855265759
"146",49,54,18000000,"E07","E7",NA,2322,7,5,"E2",0.0864000022411346,887,2,"repeat sunday",0.0382000022411346,886.975855265759
"147",50,26,18000000,"C03","C3",NA,1118,3,3,"E3",0.0870999991893768,711,2,"repeat sunday",0.0388999991893768,710.97541282494
"148",51,65,18000000,"F06","F6",NA,2795,6,6,"E4",0.0817999988794327,715,2,"repeat sunday",0.0335999988794327,714.9787627488
"149",52,57,18000000,"E10","E10",NA,2451,10,5,"E5",0.0842999964952469,789,2,"repeat sunday",0.0360999964952469,788.977182597635
"150",53,5,18000000,"A06","A6",NA,215,6,1,"E6",0.0829999968409538,280,2,"repeat sunday",0.0347999968409538,279.978004276806
"151",54,64,18000000,"F05","F5",NA,2752,5,6,"E7",0.0832000002264977,746,2,"repeat sunday",0.0350000002264977,745.977877862452
"152",55,90,18000000,"H07","H7",NA,3870,7,8,"E8",0.0803000032901764,683,2,"repeat sunday",0.0321000032901764,682.979710837615
"153",56,18,18000000,"B07","B7",NA,774,7,2,"E9",0.0866999998688698,502,2,"repeat sunday",0.0384999998688698,501.975665648938
"154",57,16,18000000,"B05","B5",NA,688,5,2,"E10",0.088699996471405,537,2,"repeat sunday",0.040499996471405,536.974401528948
"155",58,67,18000000,"F08","F8",NA,2881,8,6,"E11",0.0869000032544136,811,2,"repeat sunday",0.0387000032544136,810.975539234584
"156",59,34,18000000,"C11","C11",NA,1462,11,3,"E12",0.0868000015616417,746,2,"repeat sunday",0.0386000015616417,745.975602441761
"157",60,69,18000000,"F10","F10",NA,2967,10,6,"F1",0.0869000032544136,953,2,"repeat sunday",0.0387000032544136,952.975539234584
"158",61,85,18000000,"H02","H2",NA,3655,2,8,"F2",0.0841000005602837,833,2,"repeat sunday",0.0359000005602837,832.977309007279
"159",62,80,18000000,"G09","G9",NA,3440,9,7,"F3",0.0833000019192696,833,2,"repeat sunday",0.0351000019192696,832.977814655275
"160",63,23,18000000,"B12","B12",NA,989,12,2,"F4",0.0829999968409538,558,2,"repeat sunday",0.0347999968409538,557.978004276806
"161",64,25,18000000,"C02","C2",NA,1075,2,3,"F5",0.0841000005602837,595,2,"repeat sunday",0.0359000005602837,594.977309007279
"162",65,17,18000000,"B06","B6",NA,731,6,2,"F6",0.0829000025987625,463,2,"repeat sunday",0.0347000025987625,462.978067479273
"163",66,79,18000000,"G08","G8",NA,3397,8,7,"F7",0.0850000008940697,778,2,"repeat sunday",0.0368000008940697,777.976740152107
"164",67,45,18000000,"D10","D10",NA,1935,10,4,"F8",0.0838999971747398,659,2,"repeat sunday",0.0356999971747398,658.977435421633
"165",68,77,18000000,"G06","G6",NA,3311,6,7,"F9",0.0829000025987625,720,2,"repeat sunday",0.0347000025987625,719.978067479273
"166",69,12,18000000,"B01","B1",NA,516,1,2,"F10",0.0856000036001205,399,2,"repeat sunday",0.0374000036001205,398.976360913755
"167",70,70,18000000,"F11","F11",NA,3010,11,6,"F11",0.087399996817112,772,2,"repeat sunday",0.039199996817112,771.975223208119
"168",71,48,18000000,"E01","E1",NA,2064,1,5,"F12",0.0879999995231628,916,2,"repeat sunday",0.0397999995231628,915.974843969767
"169",72,59,18000000,"E12","E12",NA,2537,12,5,"G1",0.0861999988555908,780,2,"repeat sunday",0.0379999988555908,779.975981680113
"170",73,56,18000000,"E09","E9",NA,2408,9,5,"G2",0.0851999968290329,769,2,"repeat sunday",0.0369999968290329,768.976613742462
"171",74,91,18000000,"H08","H8",NA,3913,8,8,"G3",0.0856999978423119,857,2,"repeat sunday",0.0374999978423119,856.976297711287
"172",75,42,18000000,"D07","D7",NA,1806,7,4,"G4",0.0847000032663345,694,2,"repeat sunday",0.0365000032663345,693.976929768928
