"","Randomized.Index","Well.Number","Time.Points","coordinate.long","coordinate.x","time","green.intensity","column","row","coordinate.y","Abs.600","GFP.flu","plate","experiment","OD.600","GFP"
"289",0,79,12880000,"G08","G8",214.62,1367,8,7,"A1",0.0719999969005585,389,4,"step down",0.0237999969005585,388.984956948524
"290",1,55,8280000,"E08","E8",183.96,1367,8,5,"A2",0.0715999975800514,333,4,"step down",0.0233999975800514,332.985209772522
"291",2,10,13800000,"A11","A11",0,3072,11,1,"A3",0.0722000002861023,376,4,"step down",0.0240000002861023,375.98483053417
"292",3,32,4600000,"C09","C9",30.66,2049,9,3,"A4",0.0727000012993813,381,4,"step down",0.0245000012993813,380.984514502996
"293",4,9,11960000,"A10","A10",122.64,2049,10,1,"A5",0.0722000002861023,337,4,"step down",0.0240000002861023,336.98483053417
"294",5,20,4600000,"B09","B9",15.33,2049,9,2,"A6",0.0715999975800514,390,4,"step down",0.0233999975800514,389.985209772522
"295",6,93,13800000,"H10","H10",229.95,2049,10,8,"A7",0.0727000012993813,338,4,"step down",0.0245000012993813,337.984514502996
"296",7,17,920000,"B06","B6",137.97,685,6,2,"A8",0.0722000002861023,326,4,"step down",0.0240000002861023,325.98483053417
"297",8,36,7360000,"D01","D1",45.99,0,1,4,"A9",0.0733999982476234,398,4,"step down",0.0251999982476234,397.984072062176
"298",9,63,3680000,"F04","F4",199.29,384,4,6,"A10",0.0741000026464462,296,4,"step down",0.0259000026464462,295.983629616648
"299",10,87,1840000,"H04","H4",229.95,384,4,8,"A11",0.0741999968886375,284,4,"step down",0.0259999968886375,283.98356641418
"300",11,11,7360000,"A12","A12",122.64,3072,12,1,"A12",0.0755999982357025,489,4,"step down",0.0273999982357025,488.982681527833
"301",12,94,9200000,"H11","H11",107.31,3072,11,8,"B1",0.0737000033259392,438,4,"step down",0.0255000033259392,437.983882440646
"302",13,31,10120000,"C08","C8",153.3,1367,8,3,"B2",0.0731000006198883,359,4,"step down",0.0249000006198883,358.984261678997
"303",14,16,11040000,"B05","B5",15.33,685,5,2,"B3",0.0689999982714653,339,4,"step down",0.0207999982714653,338.986853130864
"304",15,65,0,"F06","F6",199.29,685,6,6,"B4",0.0724000036716461,288,4,"step down",0.0242000036716461,287.984704119817
"305",16,53,13800000,"E06","E6",183.96,685,6,5,"B5",0.0719999969005585,280,4,"step down",0.0237999969005585,279.984956948524
