"","Randomized.Index","Well.Number","Time.Points","coordinate.long","coordinate.x","time","green.intensity","column","row","coordinate.y","Abs.600","GFP.flu","plate","experiment","OD.600","GFP"
"1",0,80,12880000,"G09","G9",91.98,1708,9,7,"A1",0.0870999991893768,444,1,"red precondition step up",0.0388999991893768,443.97541282494
"2",1,24,8280000,"C01","C1",30.66,344,1,3,"A2",0.0869000032544136,249,1,"red precondition step up",0.0387000032544136,248.975539234584
"3",2,91,1840000,"H08","H8",229.95,1367,8,8,"A3",0.0863000005483627,656,1,"red precondition step up",0.0381000005483627,655.975918472936
"4",3,8,8280000,"A09","A9",0,1708,9,1,"A4",0.0878000035881996,216,1,"red precondition step up",0.0396000035881996,215.974970379411
"5",4,12,3680000,"B01","B1",15.33,344,1,2,"A5",0.0885000005364418,211,1,"red precondition step up",0.0403000005364418,210.974527938592
"6",5,9,0,"A10","A10",122.64,1708,10,1,"A6",0.0860999971628189,433,1,"red precondition step up",0.0378999971628189,432.976044887289
"7",6,68,10120000,"F09","F9",76.65,1708,9,6,"A7",0.0864000022411346,331,1,"red precondition step up",0.0382000022411346,330.975855265759
"8",7,84,1840000,"H01","H1",107.31,344,1,8,"A8",0.0866999998688698,416,1,"red precondition step up",0.0384999998688698,415.975665648938
"9",8,15,6440000,"B04","B4",137.97,685,4,2,"A9",0.0860000029206276,476,1,"red precondition step up",0.0378000029206276,475.976108089757
"10",9,6,4600000,"A07","A7",0,1367,7,1,"A10",0.0860999971628189,210,1,"red precondition step up",0.0378999971628189,209.976044887289
"11",10,48,3680000,"E01","E1",61.32,344,1,5,"A11",0.0852999985218048,304,1,"red precondition step up",0.0370999985218048,303.976550535285
"12",11,75,9200000,"G04","G4",214.62,685,4,7,"A12",0.0811000019311905,598,1,"red precondition step up",0.0329000019311905,597.979205189619
"13",12,56,8280000,"E09","E9",61.32,1708,9,5,"B1",0.0791999995708466,218,1,"red precondition step up",0.0309999995708466,217.980406107141
"14",13,3,0,"A04","A4",122.64,685,4,1,"B2",0.0842000022530556,399,1,"red precondition step up",0.0360000022530556,398.977245800103
"15",14,38,5520000,"D03","D3",45.99,685,3,4,"B3",0.0898000001907349,247,1,"red precondition step up",0.0416000001907349,246.973706259421
"16",15,88,6440000,"H05","H5",107.31,1026,5,8,"B4",0.089699998497963,397,1,"red precondition step up",0.041499998497963,396.973769466598
"17",16,65,4600000,"F06","F6",199.29,1026,6,6,"B5",0.0856999978423119,505,1,"red precondition step up",0.0374999978423119,504.976297711287
