,Randomized.Index,Well.Number,Time.Points,coordinate.long,coordinate.x,time,green.intensity,column,row,coordinate.y,Abs.600,GFP.flu,plate,experiment,OD.600,GFP,GFP/od,fit,diff,params,params
97,0,50,18000000,E03,E3,NA,2150,3,5,A1,0.086300001,1021,2,repeat sunday,0.038100001,1020.975918,26797.26782,19095.81434,7701.453473,b,5000
98,1,9,18000000,A10,A10,NA,387,10,1,A2,0.087499999,463,2,repeat sunday,0.039299999,462.97516,11780.53887,9597.206912,2183.331957,a,17000
99,2,21,18000000,B10,B10,NA,903,10,2,A3,0.087200001,630,2,repeat sunday,0.039000001,629.9753496,16153.21373,14675.92519,1477.288536,n,1.5
100,3,15,18000000,B04,B4,NA,645,4,2,A4,0.087399997,503,2,repeat sunday,0.039199997,502.9752232,12831.00163,12542.58413,288.4174989,k,750
101,4,44,18000000,D09,D9,NA,1892,9,4,A5,0.086999997,785,2,repeat sunday,0.038799997,784.975476,20231.32801,18604.56853,1626.759478,,
102,5,52,18000000,E05,E5,NA,2236,5,5,A6,0.085500002,746,2,repeat sunday,0.037300002,745.9764241,19999.36692,19234.75192,764.614994,,
103,6,4,18000000,A05,A5,NA,172,5,1,A7,0.087099999,293,2,repeat sunday,0.038899999,292.9754128,7531.501772,6682.268203,849.2335688,,
104,7,49,18000000,E02,E2,NA,2107,2,5,A8,0.086099997,689,2,repeat sunday,0.037899997,688.9760449,18178.78882,19022.11107,-843.3222494,,
105,8,75,18000000,G04,G4,NA,3225,4,7,A9,0.086000003,752,2,repeat sunday,0.037800003,751.9761081,19893.5463,20285.71482,-392.1685283,,
106,9,22,18000000,B11,B11,NA,946,11,2,A10,0.085699998,559,2,repeat sunday,0.037499998,558.9762977,14906.03546,14965.30013,-59.26466427,,
107,10,7,18000000,A08,A8,NA,301,8,1,A11,0.087200001,344,2,repeat sunday,0.039000001,343.9753496,8819.88056,8446.063621,373.8169391,,
108,11,87,18000000,H04,H4,NA,3741,4,8,A12,0.087300003,1002,2,repeat sunday,0.039100003,1001.975286,25625.96472,20599.68376,5026.280962,,
109,12,89,18000000,H06,H6,NA,3827,6,8,B1,0.0902,1122,2,repeat sunday,0.042,1121.973453,26713.65396,20642.87234,6070.781626,,
110,13,61,18000000,F02,F2,NA,2623,2,6,B2,0.086999997,973,2,repeat sunday,0.038799997,972.975476,25076.68914,19745.48324,5331.205908,,
111,14,30,18000000,C07,C7,NA,1290,7,3,B3,0.0845,638,2,repeat sunday,0.0363,637.9770562,17575.12557,16778.48306,796.6425124,,
112,15,35,18000000,C12,C12,NA,1505,12,3,B4,0.086499996,687,2,repeat sunday,0.038299996,686.9757921,17936.7064,17575.89031,360.8160882,,
113,16,24,18000000,C01,C1,NA,1032,1,3,B5,0.085900001,579,2,repeat sunday,0.037700001,578.9761713,15357.45762,15496.78002,-139.3223943,,
114,17,32,18000000,C09,C9,NA,1376,9,3,B6,0.085000001,604,2,repeat sunday,0.036800001,603.9767402,16412.41102,17122.02621,-709.6151878,,
115,18,8,18000000,A09,A9,NA,344,9,1,B7,0.087399997,350,2,repeat sunday,0.039199997,349.9752232,8927.940092,9029.15545,-101.2153572,,
116,19,0,18000000,A01,A1,NA,0,1,1,B8,0.086599998,224,2,repeat sunday,0.038399998,223.9757289,5832.701549,5000,832.7015493,,
117,20,82,18000000,G11,G11,NA,3526,11,7,B9,0.080899999,583,2,repeat sunday,0.032699999,582.9793316,17828.11491,20481.28769,-2653.172777,,
118,21,72,18000000,G01,G1,NA,3096,1,7,B10,0.0832,663,2,repeat sunday,0.035,662.9778779,18942.22496,20188.99553,-1246.770574,,
119,22,51,18000000,E04,E4,NA,2193,4,5,B11,0.083499998,652,2,repeat sunday,0.035299998,651.9776882,18469.62402,19166.64518,-697.0211622,,
120,23,95,18000000,H12,H12,NA,4095,12,8,B12,0.087499999,1010,2,repeat sunday,0.039299999,1009.97516,25699.11446,20764.37208,4934.74238,,
121,24,55,18000000,E08,E8,NA,2365,8,5,C1,0.087300003,1032,2,repeat sunday,0.039100003,1031.975286,26393.22809,19424.07533,6969.152768,,
122,25,78,18000000,G07,G7,NA,3354,7,7,C2,0.085299999,848,2,repeat sunday,0.037099999,847.9765505,22856.51171,20374.29237,2482.219335,,
123,26,66,18000000,F07,F7,NA,2838,7,6,C3,0.085699998,837,2,repeat sunday,0.037499998,836.9762977,22319.36922,19966.70865,2352.660573,,
124,27,39,18000000,D04,D4,NA,1677,4,4,C4,0.086499996,719,2,repeat sunday,0.038299996,718.9757921,18772.21562,18086.14987,686.0657416,,
125,28,27,18000000,C04,C4,NA,1161,4,3,C5,0.0858,626,2,repeat sunday,0.0376,625.9762345,16648.30432,16190.02184,458.2824731,,
126,29,46,18000000,D11,D11,NA,1978,11,4,C6,0.084899999,685,2,repeat sunday,0.036699999,684.9768034,18664.21848,18782.12813,-117.9096481,,
127,30,81,18000000,G10,G10,NA,3483,10,7,C7,0.083899997,716,2,repeat sunday,0.035699997,715.9774354,20055.39194,20455.63957,-400.2476374,,
128,31,93,18000000,H10,H10,NA,3999,10,8,C8,0.085600004,753,2,repeat sunday,0.037400004,752.9763609,20133.05584,20722.97469,-589.9188513,,
129,32,60,18000000,F01,F1,NA,2580,1,6,C9,0.084700003,683,2,repeat sunday,0.036500003,682.9769298,18711.69503,19696.55485,-984.859815,,
130,33,92,18000000,H09,H9,NA,3956,9,8,C10,0.083099999,653,2,repeat sunday,0.034899999,652.9779411,18709.97044,20703.68914,-1993.718693,,
131,34,63,18000000,F04,F4,NA,2709,4,6,C11,0.083899997,694,2,repeat sunday,0.035699997,693.9774354,19439.14539,19838.44288,-399.2974907,,
132,35,76,18000000,G05,G5,NA,3268,5,7,C12,0.0867,957,2,repeat sunday,0.0385,956.9756656,24856.51088,20316.09749,4540.413394,,
133,36,47,18000000,D12,D12,NA,2021,12,4,D1,0.087300003,973,2,repeat sunday,0.039100003,972.9752864,24884.27679,18865.44298,6018.833804,,
134,37,94,18000000,H11,H11,NA,4042,11,8,D2,0.083999999,888,2,repeat sunday,0.035799999,887.9773722,24803.838,20741.79426,4062.043741,,
135,38,31,18000000,C08,C8,NA,1333,8,3,D3,0.086800002,721,2,repeat sunday,0.038600002,720.9756024,18678.12366,16954.71341,1723.410246,,
136,39,28,18000000,C05,C5,NA,1204,5,3,D4,0.082900003,562,2,repeat sunday,0.034700003,561.9780675,16195.33214,16396.80893,-201.4767884,,
137,40,6,18000000,A07,A7,NA,258,7,1,D5,0.0845,299,2,repeat sunday,0.0363,298.9770562,8236.282567,7854.09487,382.1876962,,
138,41,20,18000000,B09,B9,NA,860,9,2,D6,0.083700001,503,2,repeat sunday,0.035500001,502.9775618,14168.38153,14369.42605,-201.0445171,,
139,42,71,18000000,F12,F12,NA,3053,12,6,D7,0.082000002,651,2,repeat sunday,0.033800002,650.9786363,19259.72168,20154.76799,-895.0463094,,
140,43,29,18000000,C06,C6,NA,1247,6,3,D8,0.083899997,558,2,repeat sunday,0.035699997,557.9774354,15629.62128,16592.73102,-963.1097397,,
141,44,74,18000000,G03,G3,NA,3182,3,7,D9,0.082800001,705,2,repeat sunday,0.034600001,704.9781307,20375.08995,20254.42875,120.6612006,,
142,45,14,18000000,B03,B3,NA,602,3,2,D10,0.085900001,419,2,repeat sunday,0.037700001,418.9761713,11113.42593,12111.23374,-997.8078045,,
143,46,2,18000000,A03,A3,NA,86,3,1,D11,0.088500001,257,2,repeat sunday,0.040300001,256.9745279,6376.53907,5635.419669,741.1194008,,
144,47,84,18000000,H01,H1,NA,3612,1,8,D12,0.088600002,989,2,repeat sunday,0.040400002,988.9744647,24479.56461,20530.54287,3949.021735,,
145,48,40,18000000,D05,D5,NA,1720,5,4,E1,0.086400002,773,2,repeat sunday,0.038200002,772.9758553,20234.96885,18199.3915,2035.577345,,
146,49,54,18000000,E07,E7,NA,2322,7,5,E2,0.086400002,887,2,repeat sunday,0.038200002,886.9758553,23219.26186,19363.3406,3855.921261,,
147,50,26,18000000,C03,C3,NA,1118,3,3,E3,0.087099999,711,2,repeat sunday,0.038899999,710.9754128,18277.00328,15971.62603,2305.377251,,
148,51,65,18000000,F06,F6,NA,2795,6,6,E4,0.081799999,715,2,repeat sunday,0.033599999,714.9787627,21279.13055,19925.35478,1353.775774,,
149,52,57,18000000,E10,E10,NA,2451,10,5,E5,0.084299996,789,2,repeat sunday,0.036099996,788.9771826,21855.32574,19539.00072,2316.325018,,
150,53,5,18000000,A06,A6,NA,215,6,1,E6,0.082999997,280,2,repeat sunday,0.034799997,279.9780043,8045.345681,7262.05304,783.2926405,,
151,54,64,18000000,F05,F5,NA,2752,5,6,E7,0.0832,746,2,repeat sunday,0.035,745.9778779,21313.65352,19882.6207,1431.03282,,
152,55,90,18000000,H07,H7,NA,3870,7,8,E8,0.080300003,683,2,repeat sunday,0.032100003,682.9797108,21276.62433,20663.6551,612.9692216,,
153,56,18,18000000,B07,B7,NA,774,7,2,E9,0.0867,502,2,repeat sunday,0.0385,501.9756656,13038.32902,13700.76666,-662.4376327,,
154,57,16,18000000,B05,B5,NA,688,5,2,E10,0.088699996,537,2,repeat sunday,0.040499996,536.9744015,13258.62835,12950.70372,307.9246347,,
155,58,67,18000000,F08,F8,NA,2881,8,6,E11,0.086900003,811,2,repeat sunday,0.038700003,810.9755392,20955.43853,20006.74237,948.6961551,,
156,59,34,18000000,C11,C11,NA,1462,11,3,E12,0.086800002,746,2,repeat sunday,0.038600002,745.9756024,19325.79203,17432.10967,1893.68236,,
157,60,69,18000000,F10,F10,NA,2967,10,6,F1,0.086900003,953,2,repeat sunday,0.038700003,952.9755392,24624.68887,20083.07365,4541.615216,,
158,61,85,18000000,H02,H2,NA,3655,2,8,F2,0.084100001,833,2,repeat sunday,0.035900001,832.977309,23202.7102,20554.19914,2648.511053,,
159,62,80,18000000,G09,G9,NA,3440,9,7,F3,0.083300002,833,2,repeat sunday,0.035100002,832.9778147,23731.56037,20429.27633,3302.284043,,
160,63,23,18000000,B12,B12,NA,989,12,2,F4,0.082999997,558,2,repeat sunday,0.034799997,557.9780043,16033.85215,15238.58683,795.2653253,,
161,64,25,18000000,C02,C2,NA,1075,2,3,F5,0.084100001,595,2,repeat sunday,0.035900001,594.977309,16573.18384,15740.82732,832.3565166,,
162,65,17,18000000,B06,B6,NA,731,6,2,F6,0.082900003,463,2,repeat sunday,0.034700003,462.9780675,13342.30642,13336.43931,5.86711488,,
163,66,79,18000000,G08,G8,NA,3397,8,7,F7,0.085000001,778,2,repeat sunday,0.036800001,777.9767402,21140.67177,20402.17028,738.5014944,,
164,67,45,18000000,D10,D10,NA,1935,10,4,F8,0.083899997,659,2,repeat sunday,0.035699997,658.9774354,18458.75315,18695.239,-236.4858473,,
165,68,77,18000000,G06,G6,NA,3311,6,7,F9,0.082900003,720,2,repeat sunday,0.034700003,719.9780675,20748.64592,20345.61212,403.0338067,,
166,69,12,18000000,B01,B1,NA,516,1,2,F10,0.085600004,399,2,repeat sunday,0.037400004,398.9763609,10667.81611,11176.57183,-508.7557225,,
167,70,70,18000000,F11,F11,NA,3010,11,6,F11,0.087399997,772,2,repeat sunday,0.039199997,771.9752232,19693.24709,20119.47596,-426.2288678,,
168,71,48,18000000,E01,E1,NA,2064,1,5,F12,0.088,916,2,repeat sunday,0.0398,915.974844,23014.44359,18945.37701,4069.066578,,
169,72,59,18000000,E12,E12,NA,2537,12,5,G1,0.086199999,780,2,repeat sunday,0.037999999,779.9759817,20525.68435,19645.88902,879.7953276,,
170,73,56,18000000,E09,E9,NA,2408,9,5,G2,0.085199997,769,2,repeat sunday,0.036999997,768.9766137,20783.1535,19482.5927,1300.560809,,
171,74,91,18000000,H08,H8,NA,3913,8,8,G3,0.085699998,857,2,repeat sunday,0.037499998,856.9762977,22852.70259,20683.92153,2168.781056,,
172,75,42,18000000,D07,D7,NA,1806,7,4,G4,0.084700003,694,2,repeat sunday,0.036500003,693.9769298,19013.06487,18410.98057,602.0842971,,
173,76,62,18000000,F03,F3,NA,2666,3,6,G5,0.084899999,800,2,repeat sunday,0.036699999,799.9768034,21797.73354,19792.75411,2004.979421,,
