Well Number,Randomized Index,Time Points
0,13,18000000
1,25,18000000
2,40,18000000
3,23,18000000
4,61,18000000
5,79,18000000
6,80,18000000
7,55,18000000
8,93,18000000
9,57,18000000
10,90,18000000
11,20,18000000
12,73,18000000
13,56,18000000
14,89,18000000
15,42,18000000
16,49,18000000
17,6,18000000
18,41,18000000
19,29,18000000
20,19,18000000
21,59,18000000
22,21,18000000
23,44,18000000
24,88,18000000
25,83,18000000
26,28,18000000
27,67,18000000
28,8,18000000
29,26,18000000
30,12,18000000
31,51,18000000
32,69,18000000
33,85,18000000
34,39,18000000
35,82,18000000
36,46,18000000
37,17,18000000
38,33,18000000
39,92,18000000
40,4,18000000
41,87,18000000
42,45,18000000
43,7,18000000
44,36,18000000
45,47,18000000
46,50,18000000
47,72,18000000
48,35,18000000
49,78,18000000
50,63,18000000
51,24,18000000
52,18,18000000
53,22,18000000
54,3,18000000
55,37,18000000
56,16,18000000
57,84,18000000
58,31,18000000
59,81,18000000
60,5,18000000
61,1,18000000
62,64,18000000
63,71,18000000
64,30,18000000
65,48,18000000
66,52,18000000
67,70,18000000
68,94,18000000
69,38,18000000
70,65,18000000
71,9,18000000
72,0,18000000
73,77,18000000
74,86,18000000
75,58,18000000
76,14,18000000
77,66,18000000
78,95,18000000
79,15,18000000
80,34,18000000
81,60,18000000
82,75,18000000
83,74,18000000
84,62,18000000
85,54,18000000
86,76,18000000
87,53,18000000
88,43,18000000
89,11,18000000
90,68,18000000
91,32,18000000
92,91,18000000
93,27,18000000
94,2,18000000
95,10,18000000
