Well Number,coordinate,green.intensity,column,row
0,A01,0,1,1
1,A02,43,2,1
2,A03,86,3,1
3,A04,129,4,1
4,A05,172,5,1
5,A06,215,6,1
6,A07,258,7,1
7,A08,301,8,1
8,A09,344,9,1
9,A10,387,10,1
10,A11,430,11,1
11,A12,473,12,1
12,B01,516,1,2
13,B02,559,2,2
14,B03,602,3,2
15,B04,645,4,2
16,B05,688,5,2
17,B06,731,6,2
18,B07,774,7,2
19,B08,817,8,2
20,B09,860,9,2
21,B10,903,10,2
22,B11,946,11,2
23,B12,989,12,2
24,C01,1032,1,3
25,C02,1075,2,3
26,C03,1118,3,3
27,C04,1161,4,3
28,C05,1204,5,3
29,C06,1247,6,3
30,C07,1290,7,3
31,C08,1333,8,3
32,C09,1376,9,3
33,C10,1419,10,3
34,C11,1462,11,3
35,C12,1505,12,3
36,D01,1548,1,4
37,D02,1591,2,4
38,D03,1634,3,4
39,D04,1677,4,4
40,D05,1720,5,4
41,D06,1763,6,4
42,D07,1806,7,4
43,D08,1849,8,4
44,D09,1892,9,4
45,D10,1935,10,4
46,D11,1978,11,4
47,D12,2021,12,4
48,E01,2064,1,5
49,E02,2107,2,5
50,E03,2150,3,5
51,E04,2193,4,5
52,E05,2236,5,5
53,E06,2279,6,5
54,E07,2322,7,5
55,E08,2365,8,5
56,E09,2408,9,5
57,E10,2451,10,5
58,E11,2494,11,5
59,E12,2537,12,5
60,F01,2580,1,6
61,F02,2623,2,6
62,F03,2666,3,6
63,F04,2709,4,6
64,F05,2752,5,6
65,F06,2795,6,6
66,F07,2838,7,6
67,F08,2881,8,6
68,F09,2924,9,6
69,F10,2967,10,6
70,F11,3010,11,6
71,F12,3053,12,6
72,G01,3096,1,7
73,G02,3139,2,7
74,G03,3182,3,7
75,G04,3225,4,7
76,G05,3268,5,7
77,G06,3311,6,7
78,G07,3354,7,7
79,G08,3397,8,7
80,G09,3440,9,7
81,G10,3483,10,7
82,G11,3526,11,7
83,G12,3569,12,7
84,H01,3612,1,8
85,H02,3655,2,8
86,H03,3698,3,8
87,H04,3741,4,8
88,H05,3784,5,8
89,H06,3827,6,8
90,H07,3870,7,8
91,H08,3913,8,8
92,H09,3956,9,8
93,H10,3999,10,8
94,H11,4042,11,8
95,H12,4095,12,8
