"","coordinate","Abs.600","GFP.flu","green.intensity","plate","OD.600","GFP","row","column"
"1","A01",0.0732999965548515,7639,3096,1,0.0250666625797749,7638.98418862218,1,1
"2","A01",0.0762000009417534,5213,258,3,0.0279666669666767,5212.98235937726,1,1
"3","A01",0.0766000002622604,7898,774,4,0.0283666662871838,7897.98210706843,1,1
"4","A01",0.0733999982476234,6928,2150,2,0.0251666642725468,6927.98412554379,1,1
"5","A02",0.0738999992609024,4483,387,2,0.0256666652858257,4482.98381015658,1,2
"6","A02",0.0733999982476234,6795,2623,1,0.0251666642725468,6794.98412554379,1,2
"7","A02",0.0750000029802322,9762,1419,4,0.0267666690051556,9761.98311630376,1,2
"8","A02",0.0732999965548515,11340,2967,3,0.0250666625797749,11339.9841886222,1,2
"9","A03",0.0750000029802322,7553,4042,1,0.0267666690051556,7552.98311630376,1,3
"10","A03",0.0715999975800514,7020,946,4,0.0233666636049747,7019.98526093589,1,3
"11","A03",0.0745000019669533,5983,903,2,0.0262666679918766,5982.98343169098,1,3
"12","A03",0.0733999982476234,10258,2064,3,0.0251666642725468,10257.9841255438,1,3
"13","A04",0.0754000023007393,9830,1290,4,0.0271666683256626,9829.98286399493,1,4
"14","A04",0.0732000023126602,10550,2408,3,0.0249666683375835,10549.9842516959,1,4
"15","A04",0.0769999995827675,7123,2322,1,0.0287666656076908,7122.9818547596,1,4
"16","A04",0.0755999982357025,5295,645,2,0.0273666642606258,5294.98273784286,1,4
"17","A05",0.0724999979138374,9498,1978,4,0.0242666639387608,9497.98469323984,1,5
"18","A05",0.0777999982237816,6786,1720,1,0.0295666642487049,6785.98135014193,1,5
"19","A05",0.0746999979019165,7821,860,3,0.0264666639268398,7820.98330553891,1,5
"20","A05",0.0745000019669533,7223,1892,2,0.0262666679918766,7222.98343169098,1,5
"21","A06",0.0758000016212463,8918,1032,4,0.0275666676461697,8917.98261168609,1,6
"22","A06",0.0742999985814095,8819,1204,3,0.0260666646063328,8818.98355784775,1,6
"23","A06",0.0745000019669533,7380,2236,2,0.0262666679918766,7379.98343169098,1,6
"24","A06",0.0751999989151955,7704,2580,1,0.0269666649401188,7703.9829901517,1,6
"25","A07",0.0755999982357025,6062,387,4,0.0273666642606258,6061.98273784286,1,7
"26","A07",0.0772000029683113,5716,731,1,0.0289666689932346,5715.98172860283,1,7
"27","A07",0.0758000016212463,4052,172,2,0.0275666676461697,4051.9826116861,1,7
"28","A07",0.0738999992609024,11839,2924,3,0.0256666652858257,11838.9838101566,1,7
"29","A08",0.0754000023007393,7048,559,4,0.0271666683256626,7047.98286399493,1,8
"30","A08",0.0741000026464462,10611,1892,3,0.0258666686713696,10610.9836839998,1,8
"31","A08",0.0750999972224236,7582,1849,1,0.0268666632473469,7581.98305323008,1,8
"32","A08",0.0749000012874603,7742,2107,2,0.0266666673123837,7741.98317938214,1,8
"33","A09",0.0732000023126602,13294,3741,4,0.0249666683375835,13293.9842516959,1,9
"34","A09",0.0753000006079674,8439,3225,2,0.0270666666328907,8438.98292707331,1,9
"35","A09",0.0737000033259392,11105,2537,3,0.0254666693508625,11104.9839363086,1,9
"36","A09",0.0753000006079674,7294,1204,1,0.0270666666328907,7293.98292707331,1,9
"37","A10",0.0724000036716461,9431,1247,4,0.0241666696965694,9430.98475631353,1,10
"38","A10",0.0744000002741814,9297,3053,1,0.0261666662991047,9296.98349476936,1,10
"39","A10",0.0627999976277351,3558,946,2,0.0145666636526585,3557.99081173962,1,10
"40","A10",0.0746000036597252,8403,903,3,0.0263666696846485,8402.98336861259,1,10
"41","A11",0.0744000002741814,9560,1118,3,0.0261666662991047,9559.98349476936,1,11
"42","A11",0.0722000002861023,13159,2795,4,0.0239666663110256,13158.9848824703,1,11
"43","A11",0.0680999979376793,3611,301,2,0.0198666639626026,3610.98746864171,1,11
"44","A11",0.0740000009536743,10041,4095,1,0.0257666669785976,10040.9837470782,1,11
"45","A12",0.0746999979019165,11108,1849,3,0.0264666639268398,11107.9833055389,1,12
"46","A12",0.067500002682209,7446,3741,2,0.0192666687071323,7445.98784710261,1,12
"47","A12",0.0741999968886375,10060,3827,1,0.0259666629135609,10059.9836209261,1,12
"48","A12",0.0754000023007393,6435,344,4,0.0271666683256626,6434.98286399493,1,12
"49","B01",0.0692000016570091,6103,3827,2,0.0209666676819324,6102.98677478889,2,1
"50","B01",0.0763000026345253,4623,215,4,0.0280666686594486,4622.98229629888,2,1
"51","B01",0.0746999979019165,11265,2838,3,0.0264666639268398,11264.9833055389,2,1
"52","B01",0.0734999999403954,5935,1290,1,0.0252666659653187,5934.98406246541,2,1
"53","B02",0.0706000030040741,6251,2623,2,0.0223666690289974,6250.98589170563,2,2
"54","B02",0.0728999972343445,3281,0,1,0.0246666632592678,3280.98444093101,2,2
"55","B02",0.0747999995946884,8610,1161,4,0.0265666656196117,8609.98324246053,2,2
"56","B02",0.0729999989271164,10621,3526,3,0.0247666649520397,10620.9843778526,2,2
"57","B03",0.0749000012874603,6761,3268,1,0.0266666673123837,6760.98317938214,2,3
"58","B03",0.0725999996066093,6231,1290,2,0.0243666656315327,6230.98463016146,2,3
"59","B03",0.0733999982476234,9277,1591,3,0.0251666642725468,9276.98412554379,2,3
"60","B03",0.0746999979019165,9808,2365,4,0.0264666639268398,9807.98330553891,2,3
"61","B04",0.0737000033259392,6554,3397,1,0.0254666693508625,6553.98393630864,2,4
"62","B04",0.0763999968767166,12158,3655,4,0.0281666629016399,12157.9822332252,2,4
"63","B04",0.0741000026464462,6351,1505,2,0.0258666686713696,6350.98368399981,2,4
"64","B04",0.0738999992609024,9181,1548,3,0.0256666652858257,9180.98381015658,2,4
"65","B05",0.0767000019550323,9400,1505,4,0.0284666679799557,9399.98204399005,2,5
"66","B05",0.0742999985814095,6169,1032,2,0.0260666646063328,6168.98355784774,2,5
"67","B05",0.0749000012874603,6476,2408,1,0.0266666673123837,6475.98317938214,2,5
"68","B05",0.0729999989271164,9717,2279,3,0.0247666649520397,9716.98437785263,2,5
"69","B06",0.0772000029683113,8139,903,4,0.0289666689932346,8138.98172860283,2,6
"70","B06",0.0745000019669533,6313,1591,1,0.0262666679918766,6312.98343169098,2,6
"71","B06",0.0724999979138374,10903,3999,3,0.0242666639387608,10902.9846932398,2,6
"72","B06",0.0740000009536743,6868,1376,2,0.0257666669785976,6867.98374707819,2,6
"73","B07",0.0746999979019165,7142,2236,1,0.0264666639268398,7141.98330553891,2,7
"74","B07",0.0763000026345253,11168,2064,4,0.0280666686594486,11167.9822962989,2,7
"75","B07",0.0763000026345253,4565,344,2,0.0280666686594486,4564.98229629888,2,7
"76","B07",0.0737999975681305,8596,1161,3,0.0255666635930538,8595.98387323496,2,7
"77","B08",0.0763999968767166,12767,3354,4,0.0281666629016399,12766.9822332252,2,8
"78","B08",0.0737000033259392,9709,1763,3,0.0254666693508625,9708.98393630864,2,8
"79","B08",0.0764999985694885,6028,860,1,0.0282666645944118,6027.98217014681,2,8
"80","B08",0.0760999992489815,3479,0,2,0.0278666652739048,3478.98242245565,2,8
"81","B09",0.0756999999284744,11325,2494,4,0.0274666659533978,11324.9826747645,2,9
"82","B09",0.0742999985814095,8422,3526,2,0.0260666646063328,8421.98355784775,2,9
"83","B09",0.0741000026464462,10504,2494,3,0.0258666686713696,10503.9836839998,2,9
"84","B09",0.0750000029802322,4876,473,1,0.0267666690051556,4875.98311630376,2,9
"85","B10",0.0738999992609024,11729,1849,4,0.0256666652858257,11728.9838101566,2,10
"86","B10",0.0741999968886375,6545,946,1,0.0259666629135609,6544.98362092613,2,10
"87","B10",0.0742999985814095,8802,3096,2,0.0260666646063328,8801.98355784775,2,10
"88","B10",0.0736000016331673,11209,3225,3,0.0253666676580906,11208.983999387,2,10
"89","B11",0.0724999979138374,10792,1548,4,0.0242666639387608,10791.9846932398,2,11
"90","B11",0.0742999985814095,8706,2279,1,0.0260666646063328,8705.98355784775,2,11
"91","B11",0.0742999985814095,8556,2193,2,0.0260666646063328,8555.98355784775,2,11
"92","B11",0.0741000026464462,11432,2752,3,0.0258666686713696,11431.9836839998,2,11
"93","B12",0.0737999975681305,15657,2451,4,0.0255666635930538,15656.983873235,2,12
"94","B12",0.0742999985814095,12219,3182,3,0.0260666646063328,12218.9835578477,2,12
"95","B12",0.0769999995827675,4085,129,1,0.0287666656076908,4084.9818547596,2,12
"96","B12",0.0747999995946884,10624,4095,2,0.0265666656196117,10623.9832424605,2,12
