Well Number,Randomized Index,Time Points
0,90,18000000
1,43,18000000
2,30,18000000
3,92,18000000
4,68,18000000
5,12,18000000
6,86,18000000
7,48,18000000
8,11,18000000
9,6,18000000
10,27,18000000
11,81,18000000
12,64,18000000
13,7,18000000
14,45,18000000
15,33,18000000
16,55,18000000
17,46,18000000
18,0,18000000
19,88,18000000
20,62,18000000
21,17,18000000
22,2,18000000
23,38,18000000
24,5,18000000
25,53,18000000
26,65,18000000
27,13,18000000
28,37,18000000
29,9,18000000
30,3,18000000
31,76,18000000
32,67,18000000
33,1,18000000
34,69,18000000
35,16,18000000
36,22,18000000
37,36,18000000
38,60,18000000
39,63,18000000
40,52,18000000
41,77,18000000
42,56,18000000
43,21,18000000
44,91,18000000
45,93,18000000
46,4,18000000
47,94,18000000
48,18,18000000
49,29,18000000
50,70,18000000
51,95,18000000
52,44,18000000
53,73,18000000
54,41,18000000
55,14,18000000
56,49,18000000
57,23,18000000
58,20,18000000
59,82,18000000
60,58,18000000
61,84,18000000
62,25,18000000
63,79,18000000
64,24,18000000
65,10,18000000
66,47,18000000
67,50,18000000
68,34,18000000
69,80,18000000
70,72,18000000
71,66,18000000
72,57,18000000
73,35,18000000
74,61,18000000
75,78,18000000
76,59,18000000
77,40,18000000
78,19,18000000
79,42,18000000
80,87,18000000
81,26,18000000
82,83,18000000
83,54,18000000
84,85,18000000
85,15,18000000
86,71,18000000
87,8,18000000
88,51,18000000
89,32,18000000
90,39,18000000
91,74,18000000
92,31,18000000
93,89,18000000
94,28,18000000
95,75,18000000
